#name,wv,dustsed,tempsed,limit
0.481,23.3,30.3, 22.0
0.616,22.1,27.0, 21.6
0.747,21.5,25.0,21.3
0.892,21.0,23.5,21.3
0.962,21.0,23.1, 20.03
1.247,20.5,21.7,21.4
1.620,20.2,20.9,21.0
2.133,20.2,20.7, 20.6
