phase,mjd,filter,mag_ab,Aps
-1044.503,59038.33,i,21.16656568,16
-1044.493,59038.34,i,21.24218731,15
-1044.483,59038.35,i,20.99080049,14
-1044.473,59038.36,i,20.58614629,14
-1043.463,59039.37,i,21.32188761,16
-1043.453,59039.38,i,21.6397407,15
-1043.443,59039.39,i,21.55286826,15
-1043.433,59039.4,i,20.97119663,15
-1022.563,59060.27,i,20.77489663,16
-1022.553,59060.28,i,20.65981424,14
-1022.543,59060.29,i,21.07636865,17
-1022.533,59060.3,i,21.12128062,18
-1021.513,59061.32,i,21.1164412,12
-1021.503,59061.33,i,21.19117909,11
-1021.493,59061.34,i,21.22016801,11
-1021.483,59061.35,i,21.03998227,10
-838.203,59244.63,i,20.26371215,14
-838.193,59244.64,i,19.96376041,13
-838.173,59244.66,i,20.04041975,14
-837.203,59245.63,i,20.77354147,16
-837.193,59245.64,i,20.29756677,15
-837.183,59245.65,i,20.31616677,14
-837.173,59245.66,i,20.80526865,16
-806.213,59276.62,i,20.07916027,17
-806.213,59276.62,i,20.07916027,17
-806.203,59276.63,i,20.48980049,17
-806.193,59276.64,i,20.55605785,17
-804.213,59278.62,i,20.82319393,10
-804.213,59278.62,i,20.82319393,10
-804.203,59278.63,i,21.21221409,11
-804.193,59278.64,i,20.37306826,10
-786.323,59296.51,i,20.73778731,15
-786.323,59296.51,i,20.73778731,15
-786.323,59296.51,i,20.73778731,15
-786.313,59296.52,i,21.54852646,15
-784.343,59298.49,i,20.27800704,13
-784.323,59298.51,i,20.0016553,13
-784.313,59298.52,i,20.56476568,13
-784.303,59298.53,i,20.45156801,13
-783.363,59299.47,i,18.99836865,19
-783.343,59299.49,i,19.09101011,19
-783.333,59299.5,i,20.68631409,20
-783.323,59299.51,i,20.3453407,20
-779.263,59303.57,i,20.7722407,17
-779.253,59303.58,i,21.08237406,17
-779.243,59303.59,i,21.03273616,17
-779.233,59303.6,i,21.06969866,17
-778.293,59304.54,i,21.60286157,15
-778.283,59304.55,i,21.84261409,15
-778.273,59304.56,i,21.57068072,14
-778.263,59304.57,i,21.79045183,15
-777.233,59305.6,i,20.67786865,17
-748.443,59334.39,i,20.48178761,20
-748.433,59334.4,i,20.57976865,20
-748.423,59334.41,i,20.36365785,19
-748.413,59334.42,i,20.47868761,19
-729.423,59353.41,i,21.92533616,17
-729.413,59353.42,i,21.73501409,12
-729.403,59353.43,i,21.75341409,12
-729.403,59353.43,i,21.75341409,12
-729.393,59353.44,i,21.45848062,13
-729.393,59353.44,i,21.45848062,13
-729.383,59353.45,i,21.63221911,14
-729.383,59353.45,i,21.63221911,14
-724.413,59358.42,i,21.64665183,15
-724.403,59358.43,i,21.50791911,14
-724.393,59358.44,i,21.58084182,14
-724.383,59358.45,i,21.4446407,14
-716.363,59366.47,i,21.97339866,15
-716.353,59366.48,i,22.24395317,14
-716.343,59366.49,i,22.0540882,14
-716.323,59366.51,i,21.78141752,15
-696.493,59386.34,i,20.55817909,13
-696.483,59386.35,i,20.9763412,11
-696.473,59386.36,i,21.86063616,13
-696.463,59386.37,i,21.61551911,13
-669.543,59413.29,i,20.73824917,16
-669.523,59413.31,i,20.55151606,14
-669.513,59413.32,i,21.0514179,16
-49.373,60033.46,i,21.89133616,15
-49.363,60033.47,i,21.77263616,15
-49.343,60033.49,i,21.23381911,13
-49.333,60033.5,i,21.38166865,13
-48.373,60034.46,i,21.79363616,17
-48.353,60034.48,i,21.6483407,15
-48.343,60034.49,i,21.60781911,14
-48.333,60034.5,i,21.93017406,13
-47.343,60035.49,i,19.4152179,15
-16.413,60066.42,i,21.56666157,20
-16.393,60066.44,i,21.58204182,20
-16.383,60066.45,i,21.37473356,20
-16.363,60066.47,i,21.61725183,20
-11.393,60071.44,i,21.19434147,17
-11.383,60071.45,i,21.16496568,17
-11.373,60071.46,i,21.38213356,17
-11.353,60071.48,i,21.28821011,16
-10.363,60072.47,i,21.53841171,15
-10.353,60072.48,i,21.5377407,16
-10.343,60072.49,i,21.43546826,16
-10.333,60072.5,i,21.53066157,16
-9.363,60073.47,i,21.76504182,15
-8.363,60074.47,i,21.52623356,18
-8.353,60074.48,i,21.88403616,18
-8.333,60074.5,i,21.71154182,17
-8.303,60074.53,i,21.52091171,17
-4851.203,55231.63,z,21.06434182,87
-4851.193,55231.64,z,21.19431752,83
-4794.313,55288.52,z,20.73330811,81
-4794.303,55288.53,z,20.82383802,86
-4498.173,55584.66,z,21.32129866,90
-4498.163,55584.67,z,21.22848072,87
-4027.423,56055.41,z,21.19788072,96
-4027.413,56055.42,z,20.86163356,93
-3646.413,56436.42,z,21.15956826,81
-3347.253,56735.58,z,21.65114182,44
-3014.173,57068.66,z,21.20866865,83
-2634.183,57448.65,z,21.22119866,78
-2634.173,57448.66,z,20.86611911,78
-1786.463,58296.37,z,21.29331424,79
-1784.453,58298.38,z,21.48628731,92
-1770.573,58312.26,z,21.2453407,97
-1758.583,58324.25,z,21.29310624,89
-1757.583,58325.25,z,21.70986157,82
-1757.433,58325.4,z,21.11686801,77
-1755.583,58327.25,z,19.80311011,79
-1754.583,58328.25,z,21.61314147,91
-1754.533,58328.3,z,21.70238062,66
-1754.513,58328.32,z,21.62133802,57
-1754.493,58328.34,z,21.42800811,63
-1750.583,58332.25,z,21.0482553,60
-1749.583,58333.25,z,20.98221424,66
-1748.583,58334.25,z,20.01691215,78
-1745.583,58337.25,z,21.59159393,69
-1744.583,58338.25,z,21.61796865,76
-1107.233,58975.6,z,21.63895183,63
-1107.223,58975.61,z,21.62991409,68
-1107.223,58975.61,z,21.62991409,68
-1107.213,58975.62,z,21.34011911,69
-1076.403,59006.43,z,21.44285011,85
-1076.393,59006.44,z,21.60463802,83
-4867.173,55215.66,y,20.17381752,38
-4867.163,55215.67,y,19.72221171,30
-4737.423,55345.41,y,19.24370461,35
-4737.413,55345.42,y,19.83404182,40
-4027.433,56055.4,y,19.89461171,36
-4027.423,56055.41,y,20.18108072,36
-3646.423,56436.41,y,20.61195183,41
-3218.583,56864.25,y,19.90872858,24
-2983.173,57099.66,y,19.88881752,30
-2664.163,57418.67,y,19.77681171,34
-2663.153,57419.68,y,19.87151911,32
-1770.583,58312.25,y,20.35686826,42
-1758.583,58324.25,y,20.26935785,38
-1757.583,58325.25,y,20.51113356,41
-1756.583,58326.25,y,20.10157387,33
-1755.583,58327.25,y,19.22930811,38
-1754.583,58328.25,y,20.63648062,36
-1750.583,58332.25,y,20.19545785,37
-1749.593,58333.24,y,19.67326027,35
-1748.593,58334.24,y,17.68952182,35
-1745.593,58337.24,y,20.54401011,34
-1744.593,58338.24,y,20.56916826,34
-6.343,60076.49,y,20.22443616,44
